交易日期,到期月份(週別),結算價,星期,價差
2019/1/2,201903,1630.0,星期三,0.0
2019/1/3,201903,1672.5,星期四,42.5
2019/1/4,201903,1725.5,星期五,53.0
2019/1/7,201903,1776.5,星期一,51.0
2019/1/8,201903,1766.5,星期二,-10.0
2019/1/9,201903,1830.5,星期三,64.0
2019/1/10,201903,1869.0,星期四,38.5
2019/1/11,201903,1895.0,星期五,26.0
2019/1/14,201903,1845.0,星期一,-50.0
2019/1/15,201903,1839.0,星期二,-6.0
2019/1/16,201903,1869.5,星期三,30.5
2019/1/17,201903,1878.5,星期四,9.0
2019/1/18,201903,1902.0,星期五,23.5
2019/1/21,201903,1937.0,星期一,35.0
2019/1/22,201903,1915.0,星期二,-22.0
2019/1/23,201903,1903.5,星期三,-11.5
2019/1/24,201903,1877.5,星期四,-26.0
2019/1/25,201903,1907.0,星期五,29.5
2019/1/28,201903,1876.5,星期一,-30.5
2019/1/29,201903,1853.0,星期二,-23.5
2019/1/30,201903,1898.0,星期三,45.0
2019/2/11,201904,1897.0,星期一,-1.0
2019/2/12,201904,1908.0,星期二,11.0
2019/2/13,201904,1940.0,星期三,32.0
2019/2/14,201904,1975.5,星期四,35.5
2019/2/15,201904,1992.0,星期五,16.5
2019/2/18,201904,2045.0,星期一,53.0
2019/2/19,201904,2040.0,星期二,-5.0
2019/2/20,201904,2041.0,星期三,1.0
2019/2/21,201904,2067.0,星期四,26.0
2019/2/22,201904,2061.5,星期五,-5.5
2019/2/25,201904,2060.0,星期一,-1.5
2019/2/26,201904,1987.5,星期二,-72.5
2019/2/27,201904,2020.0,星期三,32.5
2019/3/4,201905,2012.0,星期一,-8.0
2019/3/5,201905,2012.5,星期二,0.5
2019/3/6,201905,2013.5,星期三,1.0
2019/3/7,201905,2040.5,星期四,27.0
2019/3/8,201905,2032.0,星期五,-8.5
2019/3/11,201905,2037.5,星期一,5.5
2019/3/12,201905,2059.0,星期二,21.5
2019/3/13,201905,2066.0,星期三,7.0
2019/3/14,201905,2093.0,星期四,27.0
2019/3/15,201905,2075.5,星期五,-17.5
2019/3/18,201905,2062.5,星期一,-13.0
2019/3/19,201905,2079.0,星期二,16.5
2019/3/20,201905,2080.0,星期三,1.0
2019/3/21,201905,2111.5,星期四,31.5
2019/3/22,201905,2088.0,星期五,-23.5
2019/3/25,201905,2055.0,星期一,-33.0
2019/3/26,201905,2073.5,星期二,18.5
2019/3/27,201905,2104.0,星期三,30.5
2019/3/28,201905,2090.0,星期四,-14.0
2019/3/29,201905,2101.0,星期五,11.0
2019/4/1,201906,2094.0,星期一,-7.0
2019/4/2,201906,2128.5,星期二,34.5
2019/4/3,201906,2144.5,星期三,16.0
2019/4/8,201906,2175.5,星期一,31.0
2019/4/9,201906,2189.0,星期二,13.5
2019/4/10,201906,2176.0,星期三,-13.0
2019/4/11,201906,2201.5,星期四,25.5
2019/4/12,201906,2193.5,星期五,-8.0
2019/4/15,201906,2200.5,星期一,7.0
2019/4/16,201906,2189.5,星期二,-11.0
2019/4/17,201906,2218.0,星期三,28.5
2019/4/18,201906,2205.0,星期四,-13.0
2019/4/19,201906,2214.0,星期五,9.0
2019/4/22,201906,2274.0,星期一,60.0
2019/4/23,201906,2291.5,星期二,17.5
2019/4/24,201906,2289.0,星期三,-2.5
2019/4/25,201906,2305.5,星期四,16.5
2019/4/26,201906,2290.0,星期五,-15.5
2019/4/29,201906,2217.5,星期一,-72.5
2019/4/30,201906,2220.0,星期二,2.5
2019/5/2,201907,2219.0,星期四,-1.0
2019/5/3,201907,2175.0,星期五,-44.0
2019/5/6,201907,2142.0,星期一,-33.0
2019/5/7,201907,2200.0,星期二,58.0
2019/5/8,201907,2166.5,星期三,-33.5
2019/5/9,201907,2161.5,星期四,-5.0
2019/5/10,201907,2183.5,星期五,22.0
2019/5/13,201907,2198.5,星期一,15.0
2019/5/14,201907,2188.0,星期二,-10.5
2019/5/15,201907,2206.0,星期三,18.0
2019/5/16,201907,2245.0,星期四,39.0
2019/5/17,201907,2285.5,星期五,40.5
2019/5/20,201907,2299.0,星期一,13.5
2019/5/21,201907,2272.5,星期二,-26.5
2019/5/22,201907,2267.5,星期三,-5.0
2019/5/23,201907,2220.0,星期四,-47.5
2019/5/24,201907,2166.0,星期五,-54.0
2019/5/27,201907,2159.5,星期一,-6.5
2019/5/28,201907,2213.0,星期二,53.5
2019/5/29,201907,2201.0,星期三,-12.0
2019/5/30,201907,2204.0,星期四,3.0
2019/5/31,201907,2110.0,星期五,-94.0
2019/6/3,201908,1931.0,星期一,-179.0
2019/6/4,201908,1918.5,星期二,-12.5
2019/6/5,201908,1935.0,星期三,16.5
2019/6/6,201908,1907.0,星期四,-28.0
2019/6/10,201908,1996.5,星期一,89.5
2019/6/11,201908,1961.5,星期二,-35.0
2019/6/12,201908,1927.5,星期三,-34.0
2019/6/13,201908,1895.0,星期四,-32.5
2019/6/14,201908,1948.5,星期五,53.5
2019/6/17,201908,1961.0,星期一,12.5
2019/6/18,201908,1918.0,星期二,-43.0
2019/6/19,201908,1952.5,星期三,34.5
2019/6/20,201908,1949.0,星期四,-3.5
2019/6/21,201908,1993.0,星期五,44.0
2019/6/24,201908,2027.5,星期一,34.5
2019/6/25,201908,1998.0,星期二,-29.5
2019/6/26,201908,2055.0,星期三,57.0
2019/6/27,201908,2055.0,星期四,0.0
2019/6/28,201908,2053.5,星期五,-1.5
2019/7/1,201909,2050.0,星期一,-3.5
2019/7/2,201909,2017.0,星期二,-33.0
2019/7/3,201909,1945.0,星期三,-72.0
2019/7/4,201909,1970.0,星期四,25.0
2019/7/5,201909,1967.5,星期五,-2.5
2019/7/8,201909,2003.5,星期一,36.0
2019/7/9,201909,1993.0,星期二,-10.5
2019/7/10,201909,2015.0,星期三,22.0
2019/7/11,201909,2080.0,星期四,65.0
2019/7/12,201909,2077.0,星期五,-3.0
2019/7/15,201909,2066.5,星期一,-10.5
2019/7/16,201909,2060.0,星期二,-6.5
2019/7/17,201909,2004.5,星期三,-55.5
2019/7/18,201909,1977.0,星期四,-27.5
2019/7/19,201909,1948.0,星期五,-29.0
2019/7/22,201909,1969.5,星期一,21.5
2019/7/23,201909,1966.0,星期二,-3.5
2019/7/24,201909,1992.0,星期三,26.0
2019/7/25,201909,1966.5,星期四,-25.5
2019/7/26,201909,1972.5,星期五,6.0
2019/7/29,201909,1962.0,星期一,-10.5
2019/7/30,201909,1990.0,星期二,28.0
2019/7/31,201909,2025.5,星期三,35.5
2019/8/1,201910,2002.5,星期四,-23.0
2019/8/2,201910,1940.5,星期五,-62.0
2019/8/5,201910,1937.0,星期一,-3.5
2019/8/6,201910,1900.0,星期二,-37.0
2019/8/7,201910,1855.5,星期三,-44.5
2019/8/8,201910,1812.5,星期四,-43.0
2019/8/12,201910,1828.5,星期一,16.0
2019/8/13,201910,1835.5,星期二,7.0
2019/8/14,201910,1896.0,星期三,60.5
2019/8/15,201910,1853.5,星期四,-42.5
2019/8/16,201910,1845.0,星期五,-8.5
2019/8/19,201910,1853.0,星期一,8.0
2019/8/20,201910,1875.0,星期二,22.0
2019/8/21,201910,1886.0,星期三,11.0
2019/8/22,201910,1883.0,星期四,-3.0
2019/8/23,201910,1886.5,星期五,3.5
2019/8/26,201910,1849.0,星期一,-37.5
2019/8/27,201910,1850.5,星期二,1.5
2019/8/28,201910,1887.0,星期三,36.5
2019/8/29,201910,1898.0,星期四,11.0
2019/8/30,201910,1917.5,星期五,19.5
2019/9/2,201911,1846.5,星期一,-71.0
2019/9/3,201911,1835.5,星期二,-11.0
2019/9/4,201911,1828.5,星期三,-7.0
2019/9/5,201911,1891.0,星期四,62.5
2019/9/6,201911,1902.0,星期五,11.0
2019/9/9,201911,1932.0,星期一,30.0
2019/9/10,201911,1957.0,星期二,25.0
2019/9/11,201911,1957.0,星期三,0.0
2019/9/12,201911,1893.5,星期四,-63.5
2019/9/16,201911,2055.0,星期一,161.5
2019/9/17,201911,2113.0,星期二,58.0
2019/9/18,201911,1989.0,星期三,-124.0
2019/9/19,201911,1973.0,星期四,-16.0
2019/9/20,201911,1995.5,星期五,22.5
2019/9/23,201911,2006.5,星期一,11.0
2019/9/24,201911,1990.0,星期二,-16.5
2019/9/25,201911,1940.0,星期三,-50.0
2019/9/26,201911,1932.5,星期四,-7.5
2019/9/27,201911,1929.0,星期五,-3.5
2019/10/1,201912,1847.5,星期二,-81.5
2019/10/2,201912,1843.0,星期三,-4.5
2019/10/3,201912,1786.5,星期四,-56.5
2019/10/4,201912,1788.5,星期五,2.0
2019/10/7,201912,1798.5,星期一,10.0
2019/10/8,201912,1806.0,星期二,7.5
2019/10/9,201912,1783.5,星期三,-22.5
2019/10/14,201912,1834.5,星期一,51.0
2019/10/15,201912,1797.0,星期二,-37.5
2019/10/16,201912,1800.5,星期三,3.5
2019/10/17,201912,1807.5,星期四,7.0
2019/10/18,201912,1820.0,星期五,12.5
2019/10/21,201912,1806.5,星期一,-13.5
2019/10/22,201912,1792.0,星期二,-14.5
2019/10/23,201912,1814.5,星期三,22.5
2019/10/24,201912,1857.5,星期四,43.0
2019/10/25,201912,1873.0,星期五,15.5
2019/10/28,201912,1887.5,星期一,14.5
2019/10/29,201912,1880.0,星期二,-7.5
2019/10/30,201912,1871.5,星期三,-8.5
2019/10/31,201912,1839.0,星期四,-32.5
2019/11/1,202001,1812.0,星期五,-27.0
2019/11/4,202001,1852.5,星期一,40.5
2019/11/5,202001,1883.0,星期二,30.5
2019/11/6,202001,1893.5,星期三,10.5
2019/11/7,202001,1870.0,星期四,-23.5
2019/11/8,202001,1880.0,星期五,10.0
2019/11/11,202001,1876.5,星期一,-3.5
2019/11/12,202001,1890.0,星期二,13.5
2019/11/13,202001,1881.0,星期三,-9.0
2019/11/14,202001,1913.0,星期四,32.0
2019/11/15,202001,1907.0,星期五,-6.0
2019/11/18,202001,1925.0,星期一,18.0
2019/11/19,202001,1898.0,星期二,-27.0
2019/11/20,202001,1856.0,星期三,-42.0
2019/11/21,202001,1900.0,星期四,44.0
2019/11/22,202001,1937.5,星期五,37.5
2019/11/25,202001,1943.0,星期一,5.5
2019/11/26,202001,1945.0,星期二,2.0
2019/11/27,202001,1962.0,星期三,17.0
2019/11/28,202001,1950.0,星期四,-12.0
