date,fPrice,cPrice
Jul-18,14.4323992,30.3
Aug-18,14.23616581,30.3
Sep-18,15.211208,31
Oct-18,15.67520859,31
Nov-18,12.93127873,28.4
Dec-18,11.17879047,26
Jan-19,11.58103883,27.9
Feb-19,12.59461992,27.8
Mar-19,12.98468494,28.8
Apr-19,13.90329522,30.01
May-19,13.86002644,30.3
Jun-19,12.35336268,28.7
Jul-19,12.59134306,28.7
Aug-19,11.82848534,28.1
Sep-19,12.23434364,28.6
Oct-19,11.48174968,27.9
Nov-19,11.92332906,28.4
Dec-19,12.30120452,29.2
Jan-20,12.31118101,28.3
Feb-20,10.63060747,27
Mar-20,6.59958374,19.7
Apr-20,5.106068221,17.6
May-20,6.052370221,21.1
Jun-20,7.541011137,23.5
Jul-20,7.973155307,23.8
Aug-20,8.297832594,24
Sep-20,7.702444844,23.7
Oct-20,7.475605384,23.5
Nov-20,7.787534272,23.6
Dec-20,8.821609082,25.5
