date,fPrice,sPrice92,sPrice95,sPrice98,sPriceDiesel
2018/07,14.4323992,28.8,30.3,32.3,26.9
2018/08,14.23616581,28.8,30.3,32.3,26.8
2018/09,15.211208,29.5,31,33,27.7
2018/10,15.67520859,29.5,31,33,27.7
2018/11,12.93127873,26.9,28.4,30.4,24.9
2018/12,11.17879047,24.5,26,28,22.2
2019/01,11.58103883,26.4,27.9,29.9,24.2
2019/02,12.59461992,26.3,27.8,29.8,25.5
2019/03,12.98468494,27.3,28.8,30.8,26
2019/04,13.90329522,28.6,30.01,32.1,27.3
2019/05,13.86002644,28.8,30.3,32.3,26.8
2019/06,12.35336268,27.2,28.7,30.7,25.1
2019/07,12.59134306,27.2,28.7,30.7,25.1
2019/08,11.82848534,26.6,28.1,30.1,24.4
2019/09,12.23434364,27.1,28.6,30.6,25
2019/10,11.48174968,26.4,27.9,29.9,24.2
2019/11,11.92332906,26.9,28.4,30.4,24.7
2019/12,12.30120452,27.7,29.2,31.2,25.7
2020/01,12.31118101,26.8,28.3,30.3,24.7
2020/02,10.63060747,25.5,27,29,23.3
2020/03,6.59958374,18.2,19.7,21.7,15.4
2020/04,5.106068221,16.1,17.6,19.6,13
2020/05,6.052370221,19.6,21.1,23.1,17.1
2020/06,7.541011137,22,23.5,25.5,19.4
2020/07,7.973155307,22.3,23.8,25.8,19.6
2020/08,8.297832594,22.5,24,26,19.8
2020/09,7.702444844,22.2,23.7,25.7,19.5
2020/10,7.475605384,22,23.5,25.5,19.3
2020/11,7.787534272,22.1,23.6,25.6,19.4
2020/12,8.821609082,24,25.5,27.5,21.3
2021/01,9.645621065,25.1,26.6,28.6,22.4
2021/02,10.85097153,25.5,27,29,22.8
2021/03,11.67970649,26.8,28.3,30.3,24
2021/04,11.53440262,26.8,28.3,30.3,24
